,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,Gross_Binned,Low,Mid,High
193,The Lord of the Rings: The Return of the King,(2003),"
Action, Adventure, Drama            ",8.9,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
",1691777.0,201.0,377.85,High,0,0,1
194,Baby Driver,(2017),"
Action, Crime, Drama            ",7.6,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
    Director:
Edgar Wright
| 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
",468655.0,113.0,107.83,Low,1,0,0
196,Spider-Man,(2002),"
Action, Adventure, Sci-Fi            ",7.3,"
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","
    Director:
Sam Raimi
| 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
",709684.0,121.0,403.71,High,0,0,1
197,Jumanji: The Next Level,(2019),"
Action, Adventure, Comedy            ",6.7,"
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
",205638.0,123.0,316.83,Mid,0,1,0
204,Arrival,(II) (2016),"
Drama, Sci-Fi            ",7.9,"
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","
    Director:
Denis Villeneuve
| 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
",623912.0,116.0,100.55,Low,1,0,0
205,Taxi Driver,(1976),"
Crime, Drama            ",8.2,"
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
",752553.0,114.0,28.26,Low,1,0,0
206,Grease,(1978),"
Musical, Romance            ",7.2,"
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","
    Director:
Randal Kleiser
| 
    Stars:
John Travolta, 
Olivia Newton-John, 
Stockard Channing, 
Jeff Conaway
",250587.0,110.0,188.76,Mid,0,1,0
220,Venom,(2018),"
Action, Adventure, Sci-Fi            ",6.7,"
A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","
    Director:
Ruben Fleischer
| 
    Stars:
Tom Hardy, 
Michelle Williams, 
Riz Ahmed, 
Scott Haze
",390167.0,112.0,213.52,Mid,0,1,0
225,The Fate of the Furious,(2017),"
Action, Adventure, Crime            ",6.6,"
When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
",215795.0,136.0,226.01,Mid,0,1,0
226,Captain America: Civil War,(2016),"
Action, Adventure, Sci-Fi            ",7.8,"
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
",697750.0,147.0,408.08,High,0,0,1
237,Sen to Chihiro no kamikakushi,(2001),"
Animation, Adventure, Family            ",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
",682809.0,125.0,10.06,Low,1,0,0
244,The Girl in the Spider's Web,(2018),"
Action, Crime, Drama            ",6.1,"
Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","
    Director:
Fede Alvarez
| 
    Stars:
Claire Foy, 
Beau Gadsdon, 
Sverrir Gudnason, 
LaKeith Stanfield
",43896.0,115.0,14.84,Low,1,0,0
245,Kong: Skull Island,(2017),"
Action, Adventure, Fantasy            ",6.6,"
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
",294292.0,118.0,168.05,Mid,0,1,0
255,The Revenant,(2015),"
Action, Adventure, Drama            ",8.0,"
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
",732244.0,156.0,183.64,Mid,0,1,0
260,The Lord of the Rings: The Two Towers,(2002),"
Action, Adventure, Drama            ",8.7,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
",1529752.0,179.0,342.55,High,0,0,1
262,Legally Blonde,(2001),"
Comedy, Romance            ",6.3,"
Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
",195752.0,96.0,96.52,Low,1,0,0
267,Ocean's Eight,(2018),"
Action, Comedy, Crime            ",6.3,"
Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.","
    Director:
Gary Ross
| 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
",197909.0,110.0,140.22,Low,1,0,0
271,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),"
Action, Adventure, Fantasy            ",6.5,"
Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.","
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
",276173.0,129.0,172.56,Mid,0,1,0
276,2001: A Space Odyssey,(1968),"
Adventure, Sci-Fi            ",8.3,"
After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","
    Director:
Stanley Kubrick
| 
    Stars:
Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter
",622998.0,149.0,56.95,Low,1,0,0
283,Batman v Superman: Dawn of Justice,(2016),"
Action, Adventure, Sci-Fi            ",6.4,"
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
",657423.0,152.0,330.36,Mid,0,1,0
287,Mother!,(2017),"
Drama, Horror, Mystery            ",6.6,"
A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
",201141.0,121.0,17.8,Low,1,0,0
289,National Lampoon's Animal House,(1978),"
Comedy            ",7.5,"
At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
",115289.0,109.0,0.2,Low,1,0,0
293,Midnight in Paris,(2011),"
Comedy, Fantasy, Romance            ",7.7,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
",399157.0,94.0,56.82,Low,1,0,0
298,Kill Bill: Vol. 2,(2004),"
Action, Crime, Thriller            ",8.0,"
The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
",706053.0,137.0,66.21,Low,1,0,0
300,Moneyball,(2011),"
Biography, Drama, Sport            ",7.6,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
",386263.0,133.0,75.61,Low,1,0,0
309,Snowpiercer,(2013),"
Action, Drama, Sci-Fi            ",7.1,"
In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.","
    Director:
Bong Joon Ho
| 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
",335946.0,126.0,4.56,Low,1,0,0
311,300: Rise of an Empire,(2014),"
Action, Drama            ",6.2,"
Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","
    Director:
Noam Murro
| 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
",286734.0,102.0,106.58,Low,1,0,0
312,Kimi no na wa.,(2016),"
Animation, Drama, Fantasy            ",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
",217433.0,106.0,5.02,Low,1,0,0
315,Booksmart,(2019),"
Comedy            ",7.2,"
On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","
    Director:
Olivia Wilde
| 
    Stars:
Kaitlyn Dever, 
Beanie Feldstein, 
Jessica Williams, 
Jason Sudeikis
",103143.0,102.0,22.68,Low,1,0,0
319,Jaws 2,(1978),"
Adventure, Horror, Thriller            ",5.8,"
Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.","
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
",73931.0,116.0,102.92,Low,1,0,0
324,Tropic Thunder,(2008),"
Action, Comedy, War            ",7.0,"
Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","
    Director:
Ben Stiller
| 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
",391033.0,107.0,110.52,Low,1,0,0
329,Beauty and the Beast,(I) (2017),"
Family, Fantasy, Musical            ",7.1,"
A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
",284484.0,129.0,504.01,High,0,0,1
340,Hell or High Water,(II) (2016),"
Action, Crime, Drama            ",7.6,"
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
",211816.0,102.0,26.86,Low,1,0,0
342,Marriage Story,(2019),"
Comedy, Drama, Romance            ",7.9,"
Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.","
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
",266307.0,137.0,2.0,Low,1,0,0
344,Annihilation,(2018),"
Adventure, Drama, Horror            ",6.8,"
A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","
    Director:
Alex Garland
| 
    Stars:
Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong
",293459.0,115.0,32.73,Low,1,0,0
349,Wind River,(2017),"
Crime, Drama, Mystery            ",7.7,"
A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.","
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
",218337.0,107.0,33.8,Low,1,0,0
351,Frozen,(I) (2013),"
Animation, Adventure, Comedy            ",7.4,"
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
",586769.0,102.0,400.74,High,0,0,1
357,Lo imposible,(2012),"
Drama, History, Thriller            ",7.6,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.","
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
",208903.0,114.0,19.02,Low,1,0,0
365,The Nice Guys,(2016),"
Action, Comedy, Crime            ",7.4,"
In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","
    Director:
Shane Black
| 
    Stars:
Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer
",295435.0,116.0,36.26,Low,1,0,0
366,The Snowman,(2017),"
Crime, Drama, Thriller            ",5.1,"
Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.","
    Director:
Tomas Alfredson
| 
    Stars:
Michael Fassbender, 
Rebecca Ferguson, 
Charlotte Gainsbourg, 
Jonas Karlsson
",60354.0,119.0,6.67,Low,1,0,0
367,Moonrise Kingdom,(2012),"
Comedy, Drama, Romance            ",7.8,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
",328550.0,94.0,45.51,Low,1,0,0
368,Contagion,(2011),"
Drama, Thriller            ",6.7,"
Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","
    Director:
Steven Soderbergh
| 
    Stars:
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
",290444.0,106.0,75.66,Low,1,0,0
370,This Is England,(2006),"
Crime, Drama            ",7.7,"
A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","
    Director:
Shane Meadows
| 
    Stars:
Thomas Turgoose, 
Stephen Graham, 
Jo Hartley, 
Andrew Shim
",117889.0,101.0,0.33,Low,1,0,0
378,Willy Wonka & the Chocolate Factory,(1971),"
Family, Fantasy, Musical            ",7.8,"
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.","
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
",186202.0,100.0,4.0,Low,1,0,0
381,Homefront,(I) (2013),"
Action, Crime, Thriller            ",6.5,"
A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
",113476.0,100.0,20.16,Low,1,0,0
383,Dead Poets Society,(1989),"
Comedy, Drama            ",8.1,"
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.","
    Director:
Peter Weir
| 
    Stars:
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
",443357.0,128.0,95.86,Low,1,0,0
385,There's Something About Mary,(1998),"
Comedy, Romance            ",7.1,"
A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.","
    Directors:
Bobby Farrelly, 
Peter Farrelly
| 
    Stars:
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
",298729.0,119.0,176.48,Mid,0,1,0
390,Lucy,(I) (2014),"
Action, Sci-Fi, Thriller            ",6.4,"
A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
",462122.0,89.0,126.66,Low,1,0,0
395,The Mummy,(2017),"
Action, Adventure, Fantasy            ",5.4,"
An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","
    Director:
Alex Kurtzman
| 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
",177592.0,110.0,80.1,Low,1,0,0
400,Birdman or (The Unexpected Virtue of Ignorance),(2014),"
Comedy, Drama            ",7.7,"
A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
",595946.0,119.0,42.34,Low,1,0,0
403,Knock Knock,(I) (2015),"
Drama, Thriller            ",4.9,"
A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
",87474.0,99.0,0.04,Low,1,0,0
405,Hauru no ugoku shiro,(2004),"
Animation, Adventure, Family            ",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
",351466.0,119.0,4.71,Low,1,0,0
407,Now You See Me,(I) (2013),"
Crime, Mystery, Thriller            ",7.2,"
An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
",614056.0,115.0,117.72,Low,1,0,0
410,The Lost World: Jurassic Park,(1997),"
Action, Adventure, Sci-Fi            ",6.6,"
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
",390425.0,129.0,229.09,Mid,0,1,0
418,Geostorm,(2017),"
Action, Sci-Fi, Thriller            ",5.3,"
When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
",99724.0,109.0,33.7,Low,1,0,0
421,Sausage Party,(2016),"
Animation, Adventure, Comedy            ",6.1,"
A sausage strives to discover the truth about his existence.","
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
",181775.0,89.0,97.69,Low,1,0,0
426,The Next Three Days,(2010),"
Action, Crime, Drama            ",7.3,"
A married couple's life is turned upside down when the wife is accused of a murder.","
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
",189815.0,133.0,21.15,Low,1,0,0
428,Moonlight,(I) (2016),"
Drama            ",7.4,"
A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
",285273.0,111.0,27.85,Low,1,0,0
